Item,Purpose ,Price,Source
eSUN Black PLA,Material for the Apple,17.99,https://www.amazon.com/eSUN-Filament-Printing-Dimensional-Accuracy/dp/B0F9WTGTJF/ref=sr_1_3?crid=2UYIHQXOTY4WC&dib=eyJ2IjoiMSJ9.428FXb137ZFw_e0k7POgh2samAYwzg7itX9nfjHlbwTJfELq11uu2uZBecLaGuqgWmBUrjB3tPyJP9BFrr3BWuAAivXOT5xvbvCB4v6f9RkXOy9QzvAY69nVPAE3nxp35mrmyhA3G7tT-jkCzKfZlxhucEzUO7zdSN5zUi5AESaV7CNwGK3uf-zaEiPZGI0Hhq6V0LQPUbZ7BnwW90dzY01x44e2PKasJTiYxMhfatI.Q9NEyw0VticmLuN339YC7Ag4pVIIB__pwhz1GxUPbpw&dib_tag=se&keywords=esun+pla+very+peri&qid=1776983312&sprefix=esun+pla+very+per%2Caps%2C94&sr=8-3
100 Piece 5mm LED Diode,LED display for matrix,$2.05,https://www.aliexpress.us/item/3256805522045262.html?spm=a2g0o.order_list.order_list_main.23.43a018024hToQq&gatewayAdapt=glo2usa
Double-Sided PCB Perf board,To solder everything on,$5.75,https://www.aliexpress.us/item/3256809592792377.html?spm=a2g0o.productlist.main.14.2db2BgYcBgYctX&algo_pvid=98632285-78c6-488c-bbdf-1625cca6aa11&algo_exp_id=98632285-78c6-488c-bbdf-1625cca6aa11-13&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.50%215.75%21%21%2177.83%2138.91%21%402101d97817795705556908839eb5b2%2112000050132256564%21sea%21US%216433983600%21X%211%210%21n_tag%3A-29912%3Bd%3Aaef7b7ba%3Bm03_new_user%3A-29895&curPageLogUid=Mu3WLEB156p1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009779107129%7C_p_origin_prod%3A
Transistor kit (pnp & npn),Transistors for matrix,$4.53,https://www.aliexpress.us/item/3256805837998272.html?spm=a2g0o.order_list.order_list_main.41.249e1802COLUgp&gatewayAdapt=glo2usa
Resistor kit (1k and 150 needed),resistors for matrix,$2.70,https://www.aliexpress.us/item/3256805992966474.html?spm=a2g0o.productlist.main.2.38aaDuW9DuW9Wa&algo_pvid=16b5e6a4-bdc6-4e3e-82c7-150609a13281&algo_exp_id=16b5e6a4-bdc6-4e3e-82c7-150609a13281-1&pdp_ext_f=%7B%22order%22%3A%221931%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.70%212.70%21%21%2118.24%2118.24%21%402103274e17795707364605431ec743%2112000050833934299%21sea%21US%216433983600%21X%211%210%21n_tag%3A-29912%3Bd%3Aaef7b7ba%3Bm03_new_user%3A-29895&curPageLogUid=gPSdB2noIETp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006179281226%7C_p_origin_prod%3A
Solid core wire,bridging matrix,$1.95,https://www.aliexpress.us/item/3256810592963671.html?spm=a2g0o.productlist.main.1.3b0a2ca6ytP1A8&algo_pvid=2a9e217e-61bb-47ad-b886-9052e842d0b1&algo_exp_id=2a9e217e-61bb-47ad-b886-9052e842d0b1-0&pdp_ext_f=%7B%22order%22%3A%225379%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.95%211.95%21%21%2113.17%2113.17%21%402103129f17795709959253435e3641%2112000053482331377%21sea%21US%216433983600%21X%211%210%21n_tag%3A-29912%3Bd%3Aaef7b7ba%3Bm03_new_user%3A-29895&curPageLogUid=4SJpI1qPnLCS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010779278423%7C_p_origin_prod%3A
"ESP32-S3 ( can use any dev board, I just had one laying around) ",Upload core and manage matrix,$4.79,https://www.aliexpress.us/item/3256806551646045.html?spm=a2g0o.productlist.main.6.20e77404R16Ez9&algo_pvid=c1213d65-f4c7-41c8-b4b6-1e1831d46d19&algo_exp_id=c1213d65-f4c7-41c8-b4b6-1e1831d46d19-5&pdp_ext_f=%7B%22order%22%3A%2210870%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.93%213.93%21%21%213.93%213.93%21%402103212317795710315427677e93b9%2112000044552459484%21sea%21US%216433983600%21X%211%210%21n_tag%3A-29912%3Bd%3Aaef7b7ba%3Bm03_new_user%3A-29895&curPageLogUid=dJRNF2kKxOEj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006737960797%7C_p_origin_prod%3A
m3 Screws,To connect the board to the apple,$4.52,https://www.aliexpress.us/item/3256802317314157.html?spm=a2g0o.productlist.main.1.b3bd48aboFuMtP&algo_pvid=b068f70a-8dc9-4426-8106-0499bd025545&algo_exp_id=b068f70a-8dc9-4426-8106-0499bd025545-0&pdp_ext_f=%7B%22order%22%3A%22970%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.52%214.52%21%21%214.52%214.52%21%402101ea8c17797449990551731e8b7e%2112000020908479814%21sea%21US%216433983600%21X%211%210%21n_tag%3A-29912%3Bd%3Aaef7b7ba%3Bm03_new_user%3A-29895&curPageLogUid=W0Rab7IiJHWo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002503628909%7C_p_origin_prod%3A
,,,
,,,
,,,
(I already own everything except for the leds),,,
